Giá bán,Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất
4 tỷ,Tp Hồ Chí Minh,Phường 3,36,"Nhà ngõ, hẻm",Đã có sổ,,,,2,2,3,
,,,,,,,,,,,,
"11,8 tỷ",Tp Hồ Chí Minh,Phường 2,117,"Nhà ngõ, hẻm",Đã có sổ,,4.2,28,4,4,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,5 tỷ",Tp Hồ Chí Minh,Phường Long Phước (Quận 9 cũ),53.7,"Nhà ngõ, hẻm",Đã có sổ,,4.5,11.94,3,3,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"6,5 tỷ",Tp Hồ Chí Minh,Phường Linh Trung (Quận Thủ Đức cũ),55.9,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4,14.1,2,2,2,
"5,25 tỷ",Tp Hồ Chí Minh,Phường Trung Mỹ Tây,54,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,4.5,13,4,,,
"6,79 tỷ",Tp Hồ Chí Minh,Thị trấn Nhà Bè,60,"Nhà ngõ, hẻm",Đã có sổ,,4,15,4,5,3,Nội thất cao cấp
"6,6 tỷ",Tp Hồ Chí Minh,Phường Thạnh Lộc,56,"Nhà ngõ, hẻm",Đã có sổ,,5,11,4,4,,Nội thất cao cấp
"6,85 tỷ",Đà Nẵng,Phường Hòa Minh,72,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây Bắc,4.5,16,3,2,2,Nội thất cao cấp
,,,,,,,,,,,,
"1,25 tỷ",Tp Hồ Chí Minh,Phường 15,13.2,"Nhà ngõ, hẻm",Đã có sổ,,3.5,4,1,1,2,
,,,,,,,,,,,,
"13,8 tỷ",Tp Hồ Chí Minh,Phường 15,64,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,16,6,,4,Hoàn thiện cơ bản
"5,9 tỷ",Tp Hồ Chí Minh,Phường 16,60,"Nhà ngõ, hẻm",Đã có sổ,,4,15,3,,2,Nội thất đầy đủ
"3,6 tỷ",Tp Hồ Chí Minh,Phường Tân Thới Hiệp,64,"Nhà ngõ, hẻm",Đã có sổ,,4,16,2,,,
300 triệu,Lâm Đồng,Xã Lộc Ngãi,1000,Nhà biệt thự,Đã có sổ,,,,2,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,7 tỷ",Tp Hồ Chí Minh,Phường Phú Thọ Hòa,50,"Nhà ngõ, hẻm",Đã có sổ,,,,2,2,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,7 tỷ",Đà Nẵng,Phường Bình Thuận,98,"Nhà ngõ, hẻm",Đã có sổ,,5,20,3,2,2,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,98 tỷ",Tp Hồ Chí Minh,Phường 11,25,"Nhà ngõ, hẻm",Đã có sổ,,,,3,3,3,Nội thất cao cấp
9 tỷ,Hà Nội,Phường Hoàng Liệt,45,"Nhà ngõ, hẻm",Đã có sổ,,,,4,3,55,Nội thất đầy đủ
"5,95 tỷ",Tp Hồ Chí Minh,Phường 6,57,"Nhà ngõ, hẻm",Đã có sổ,,4,14.5,2,1,1,Bàn giao thô
"6,6 tỷ",Tp Hồ Chí Minh,Phường 9,48,"Nhà ngõ, hẻm",Đã có sổ,Nam,4,12,3,4,4,Nội thất đầy đủ
"2,68 tỷ",Tp Hồ Chí Minh,Phường Phú Thuận,48,"Nhà ngõ, hẻm",Đã có sổ,,4,12,3,2,2,
,,,,,,,,,,,,
"5,8 tỷ",Tp Hồ Chí Minh,Phường 5,39,"Nhà ngõ, hẻm",Đã có sổ,,8.5,4.5,5,4,4,Nội thất đầy đủ
,,,,,,,,,,,,
900 triệu,Tp Hồ Chí Minh,Phường 14,10,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,3,
"3,99 tỷ",Tp Hồ Chí Minh,Thị trấn Nhà Bè,78,Nhà phố liền kề,Đã có sổ,,4,19,3,2,1,Nội thất cao cấp
"1,55 tỷ",Tp Hồ Chí Minh,Phường Thạnh Xuân,52,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tây,4,13,2,1,1,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,58 tỷ",Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,56,"Nhà ngõ, hẻm",Đã có sổ,,4,15,3,4,,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
"9,75 tỷ",Tp Hồ Chí Minh,Phường Linh Đông (Quận Thủ Đức cũ),150,Nhà biệt thự,Đã có sổ,,8,20,3,4,2,
"2,5 tỷ",Tp Hồ Chí Minh,Phường 8,15,"Nhà ngõ, hẻm",Đã có sổ,,2.5,6,2,2,3,Hoàn thiện cơ bản
"10,7 tỷ",Tp Hồ Chí Minh,Phường Tân Hưng,75,"Nhà ngõ, hẻm",Đã có sổ,,,,9,,,Nội thất cao cấp
"15,7 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông B,95,"Nhà mặt phố, mặt tiền",Đã có sổ,Nam,5,19,5,6,3,Nội thất cao cấp
,,,,,,,,,,,,
"6,1 tỷ",Tp Hồ Chí Minh,Phường 6,52,"Nhà ngõ, hẻm",Đã có sổ,,3,17,2,,,
,,,,,,,,,,,,
"1,9 tỷ",Tp Hồ Chí Minh,Phường 1,21,"Nhà ngõ, hẻm",Đã có sổ,,2.7,7.5,2,1,1,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,99 tỷ",Tp Hồ Chí Minh,Phường Long Trường (Quận 9 cũ),64,"Nhà ngõ, hẻm",Đã có sổ,,,,4,3,3,Nội thất đầy đủ
"4,69 tỷ",Bình Dương,Phường Dĩ An,93,Nhà phố liền kề,Đã có sổ,,6.2,14,4,4,,
"5,6 tỷ",Thừa Thiên Huế,Phường Trường An,36,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây,7.5,5,3,1,3,Nội thất đầy đủ
"5,75 tỷ",Tp Hồ Chí Minh,Xã Phước Kiển,85,"Nhà ngõ, hẻm",Đã có sổ,,5,17,5,5,1,
"12,6 tỷ",Tp Hồ Chí Minh,Phường 2,60,"Nhà ngõ, hẻm",Đã có sổ,,4.5,15,4,5,4,Nội thất đầy đủ
"12,4 tỷ",Hà Nội,Phường Việt Hưng,76,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,3,4,4,
,,,,,,,,,,,,
"1,49 tỷ",Bình Dương,Phường Bình Nhâm,60,"Nhà ngõ, hẻm",Đã có sổ,,5,12,3,2,2,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"6,45 tỷ",Tp Hồ Chí Minh,Phường 11,45,"Nhà ngõ, hẻm",Đã có sổ,,,,3,2,,Nội thất cao cấp
"9,45 tỷ",Tp Hồ Chí Minh,Phường 8,65,"Nhà ngõ, hẻm",Đã có sổ,,4,16,4,5,4,Nội thất cao cấp
,,,,,,,,,,,,
"3,1 tỷ",Tp Hồ Chí Minh,Xã Hưng Long,288,"Nhà ngõ, hẻm",Đã có sổ,,9,33,2,,1,
"7,1 tỷ",Quảng Ngãi,Phường Trần Phú,100,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Nam,5,20,3,3,3,Nội thất đầy đủ
"5,8 tỷ",Tp Hồ Chí Minh,Phường 14,37,"Nhà ngõ, hẻm",Đã có sổ,,,,4,,4,Nội thất cao cấp
"9,6 tỷ",Tp Hồ Chí Minh,Phường 15,64,"Nhà ngõ, hẻm",Đã có sổ,,4,16,4,5,4,Nội thất cao cấp
700 triệu,An Giang,Phường Mỹ Thạnh,46,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4.2,11,2,1,2,
,,,,,,,,,,,,
"8,5 tỷ",Tp Hồ Chí Minh,Phường Sơn Kỳ,80,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,16,3,3,3,Nội thất cao cấp
,,,,,,,,,,,,
"19,5 tỷ",Tp Hồ Chí Minh,Phường 22,80,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,4,20,4,,4,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,7 tỷ",Đồng Nai,Phường Bửu Hòa,100,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây,6,17,4,4,3,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,9 tỷ",Tp Hồ Chí Minh,Phường Tân Thuận Tây,75,"Nhà ngõ, hẻm",Đã có sổ,,4.2,18,3,1,1,Hoàn thiện cơ bản
"7,25 tỷ",Tp Hồ Chí Minh,Phường 25,55,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,,
"6,6 tỷ",Tp Hồ Chí Minh,Phường 8,44.6,"Nhà ngõ, hẻm",Đã có sổ,Tây,3.9,12.3,5,5,4,Hoàn thiện cơ bản
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"7,6 tỷ",Tp Hồ Chí Minh,Phường 3,63,"Nhà ngõ, hẻm",Đã có sổ,,6.3,10,3,2,1,Hoàn thiện cơ bản
"1,65 tỷ",Long An,Xã Mỹ Lộc,85,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,17,3,2,1,Hoàn thiện cơ bản
,,,,,,,,,,,,
,,,,,,,,,,,,
"3,69 tỷ",Tp Hồ Chí Minh,Phường 11,33,"Nhà ngõ, hẻm",Đã có sổ,,4.2,8,2,2,2,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
"7,999 tỷ",Đắk Lắk,Phường Tân Lập,66.5,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây,5,13.5,3,3,3,
,,,,,,,,,,,,
"6,25 tỷ",Tp Hồ Chí Minh,Phường 21,40,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,2,
"4,75 tỷ",Tp Hồ Chí Minh,Phường 2,55,"Nhà ngõ, hẻm",Đã có sổ,Đông,4,14,2,1,2,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,2 tỷ",Tp Hồ Chí Minh,Phường Tăng Nhơn Phú B (Quận 9 cũ),50,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,,,1,1,,Hoàn thiện cơ bản
"1,85 tỷ",Tp Hồ Chí Minh,Xã Vĩnh Lộc B,56,"Nhà mặt phố, mặt tiền",Sổ chung / công chứng vi bằng,,4,14,2,2,1,Nội thất đầy đủ
,,,,,,,,,,,,
"8,05 tỷ",Hà Nội,Phường Đại Mỗ,46,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Bắc,,,5,4,5,
"4,75 tỷ",Đà Nẵng,Phường Hòa An,56,"Nhà ngõ, hẻm",Đã có sổ,Nam,5,12,4,2,3,Nội thất cao cấp
"39,28 tỷ",Tp Hồ Chí Minh,Phường 13,140.1,Nhà biệt thự,Đã có sổ,Đông,7,20.1,5,4,2,Bàn giao thô
,,,,,,,,,,,,
,,,,,,,,,,,,
"33,9 tỷ",Tp Hồ Chí Minh,Phường 25,88,"Nhà mặt phố, mặt tiền",Đã có sổ,Nam,4.4,20,6,Nhiều hơn 6,4,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,999 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hòa,60,"Nhà ngõ, hẻm",Đã có sổ,Bắc,,,3,3,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"7,65 tỷ",Tp Hồ Chí Minh,Phường Thạnh Lộc,52,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Nam,4,13,4,5,,
,,,,,,,,,,,,
"6,99 tỷ",Tp Hồ Chí Minh,Phường Linh Đông (Quận Thủ Đức cũ),62,"Nhà ngõ, hẻm",Đã có sổ,,5.5,12,4,3,3,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,8 tỷ",Tp Hồ Chí Minh,Phường 10,36,"Nhà ngõ, hẻm",Đã có sổ,,4.3,8,2,3,3,Hoàn thiện cơ bản
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,8 tỷ",Tp Hồ Chí Minh,Phường 6,36,"Nhà ngõ, hẻm",Đã có sổ,,3.4,11,2,2,3,Nội thất đầy đủ
,,,,,,,,,,,,
"3,45 tỷ",Tp Hồ Chí Minh,Phường Phú Thọ Hòa,29,"Nhà ngõ, hẻm",Đã có sổ,Bắc,4.2,7,2,2,2,
"13,5 tỷ",Tp Hồ Chí Minh,Phường An Lạc,65,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,5,3,4,
3 tỷ,Tp Hồ Chí Minh,Phường Phú Thạnh,26,"Nhà ngõ, hẻm",Đã có sổ,,3.25,8,3,4,3,Nội thất đầy đủ
"2,95 tỷ",Tp Hồ Chí Minh,Phường Tân Hưng,22,"Nhà ngõ, hẻm",Đã có sổ,,3,7.5,2,2,,
"1,65 tỷ",Tp Hồ Chí Minh,Phường Tân Phú,30,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,3,10,2,2,1,Hoàn thiện cơ bản
,,,,,,,,,,,,
50 tỷ,Tp Hồ Chí Minh,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),618,"Nhà mặt phố, mặt tiền",Đã có sổ,,24,30,3,3,3,Nội thất cao cấp
"4,8 tỷ",Tp Hồ Chí Minh,Phường 2,28.2,"Nhà ngõ, hẻm",Đã có sổ,,3.12,9.71,3,2,2,Nội thất đầy đủ
,,,,,,,,,,,,
"12,5 tỷ",Bà Rịa - Vũng Tàu,Phường 4,68,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Nam,4.4,15.3,4,,,
"7,99 tỷ",Tp Hồ Chí Minh,Phường Phú Mỹ,62,"Nhà ngõ, hẻm",Đã có sổ,,4,16,5,5,4,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"7,9 tỷ",Tp Hồ Chí Minh,Phường 4,52,"Nhà ngõ, hẻm",Đang chờ sổ,,4,12.5,2,,,
,,,,,,,,,,,,
"7,8 tỷ",Tp Hồ Chí Minh,Phường 9,52,"Nhà ngõ, hẻm",Đã có sổ,,,,4,,,
"4,3 tỷ",Bình Dương,Phường An Phú,65,"Nhà mặt phố, mặt tiền",Đã có sổ,Nam,5,13,4,3,3,Hoàn thiện cơ bản
"5,5 tỷ",Tp Hồ Chí Minh,Phường 16,25,"Nhà ngõ, hẻm",Đã có sổ,,3,8,2,3,,
"4,8 tỷ",Tp Hồ Chí Minh,Phường 15,31,"Nhà ngõ, hẻm",Đã có sổ,,2.6,12,2,2,2,Nội thất đầy đủ
30 tỷ,Tp Hồ Chí Minh,Phường Long Trường (Quận 9 cũ),440,"Nhà mặt phố, mặt tiền",Đã có sổ,,11,40,3,3,1,Nội thất đầy đủ
"2,5 tỷ",Bình Dương,Phường Tương Bình Hiệp,120,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,30,3,3,2,Hoàn thiện cơ bản
"5,75 tỷ",Tp Hồ Chí Minh,Phường 15,65,"Nhà ngõ, hẻm",Đã có sổ,,,,4,,,
"10,8 tỷ",Tp Hồ Chí Minh,Phường 9,55,"Nhà mặt phố, mặt tiền",Đã có sổ,,3.07,18,6,4,4,Nội thất đầy đủ
"6,7 tỷ",Tp Hồ Chí Minh,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),116,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,,
"1,06 tỷ",Bình Dương,Phường Thới Hòa,150,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,30,3,,,
"4,38 tỷ",Tp Hồ Chí Minh,Phường Hiệp Thành,46,"Nhà ngõ, hẻm",Đã có sổ,Tây,3.7,13,2,2,2,Nội thất cao cấp
,,,,,,,,,,,,
"13,5 tỷ",Hà Nội,Phường Tây Mỗ,47,"Nhà ngõ, hẻm",Đã có sổ,,,,nhiều hơn 10,Nhiều hơn 6,,Nội thất cao cấp
"6,868 tỷ",Tp Hồ Chí Minh,Phường 13,36,"Nhà ngõ, hẻm",Đã có sổ,,3.6,10,5,3,,
"6,4 tỷ",Tp Hồ Chí Minh,Phường Phú Hữu (Quận 9 cũ),56,"Nhà ngõ, hẻm",Đã có sổ,,4,14,3,3,3,
"4,25 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hòa,48,"Nhà ngõ, hẻm",Đã có sổ,,,,3,2,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,3 tỷ",Tp Hồ Chí Minh,Phường Tăng Nhơn Phú A (Quận 9 cũ),90,"Nhà ngõ, hẻm",Đã có sổ,,5,18,2,2,1,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,8 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hoà B,52,"Nhà ngõ, hẻm",Đã có sổ,Tây,4,13,4,5,4,Nội thất đầy đủ
"1,65 tỷ",Tp Hồ Chí Minh,Xã Tân Kiên,60,"Nhà ngõ, hẻm",Đã có sổ,,,,3,2,,
"1,8 tỷ",Tp Hồ Chí Minh,Xã Đông Thạnh,76,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,4,19,3,2,2,Hoàn thiện cơ bản
"3,4 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,45,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,,
"7,3 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hoà A,48,"Nhà ngõ, hẻm",Đã có sổ,,4,12,5,6,5,Nội thất cao cấp
"7,05 tỷ",Hà Nội,Xã Thanh Liệt,50,"Nhà ngõ, hẻm",Đã có sổ,,,,4,3,3,Nội thất đầy đủ
"17,5 tỷ",Tp Hồ Chí Minh,Phường Phú Thọ Hòa,162,"Nhà ngõ, hẻm",Đã có sổ,,,,nhiều hơn 10,,,
,,,,,,,,,,,,
"4,3 tỷ",Tp Hồ Chí Minh,Phường 10,48,"Nhà ngõ, hẻm",Đã có sổ,,4,12,2,1,,Hoàn thiện cơ bản
"3,5 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,26,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,7 tỷ",Tp Hồ Chí Minh,Phường Đông Hưng Thuận,96,Nhà phố liền kề,Đã có sổ,,6,16,4,,,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"15,9 tỷ",Tp Hồ Chí Minh,Phường 12,86,"Nhà ngõ, hẻm",Đã có sổ,,5,16,nhiều hơn 10,,,
,,,,,,,,,,,,
"3,6 tỷ",Bình Dương,Phường Hiệp Thành,132.5,"Nhà ngõ, hẻm",Đã có sổ,,4.83,28,3,2,1,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"1,05 tỷ",Tp Hồ Chí Minh,Phường Tam Phú (Quận Thủ Đức cũ),64,"Nhà ngõ, hẻm",Giấy tờ viết tay,,4,16,2,1,1,
,,,,,,,,,,,,
"4,5 tỷ",Tp Hồ Chí Minh,Phường 6,55,"Nhà ngõ, hẻm",Đã có sổ,,4.6,12,2,1,1,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"7,65 tỷ",Tp Hồ Chí Minh,Phường 5,70,"Nhà ngõ, hẻm",Đã có sổ,,12,6,3,2,2,Bàn giao thô
"7,15 tỷ",Tp Hồ Chí Minh,Phường Linh Đông (Quận Thủ Đức cũ),61,"Nhà mặt phố, mặt tiền",Đã có sổ,,5.5,11.3,4,3,3,
,,,,,,,,,,,,
5 tỷ,Đà Nẵng,Phường Chính Gián,46,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,3.55,12.11,3,4,3,Nội thất cao cấp
"17,3 tỷ",Tp Hồ Chí Minh,Phường Tân Thới Hiệp,165,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,5,,,
,,,,,,,,,,,,
"22,5 tỷ",Tp Hồ Chí Minh,Phường Linh Trung (Quận Thủ Đức cũ),363,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,7.2,32,nhiều hơn 10,Nhiều hơn 6,,Hoàn thiện cơ bản
"6,25 tỷ",Tp Hồ Chí Minh,Phường 21,40,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,,
"3,75 tỷ",Tp Hồ Chí Minh,Phường 14,27,"Nhà ngõ, hẻm",Đã có sổ,,3.7,7.5,2,2,2,
,,,,,,,,,,,,
"5,8 tỷ",Tp Hồ Chí Minh,Xã Bình Chánh,137,Nhà biệt thự,Đã có sổ,,5,28,3,,2,Nội thất cao cấp
900 triệu,Đồng Nai,Phường Bửu Long,100,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,20,4,2,2,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"1,55 tỷ",Đồng Nai,Phường Bửu Long,100,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,20,3,2,1,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
"14,3 tỷ",Tp Hồ Chí Minh,Phường 14,100,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,25,2,2,1,Hoàn thiện cơ bản
,,,,,,,,,,,,
,,,,,,,,,,,,
"1,9 tỷ",Tp Hồ Chí Minh,Xã Tân Quý Tây,50,"Nhà ngõ, hẻm",Đã có sổ,,5,10,3,3,2,
"4,25 tỷ",Bình Dương,Phường Tân Bình,66,Nhà phố liền kề,Đã có sổ,,4,16,4,4,2,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,49 tỷ",Tp Hồ Chí Minh,Phường Linh Chiểu (Quận Thủ Đức cũ),49.2,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,4,12,2,2,2,Nội thất đầy đủ
"15,5 tỷ",Tp Hồ Chí Minh,Phường 5,59,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.1,14.5,5,6,4,
"4,5 tỷ",Tp Hồ Chí Minh,Phường An Lạc A,30,"Nhà ngõ, hẻm",Đã có sổ,,3.6,8,3,2,3,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,8 tỷ",Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,60,"Nhà ngõ, hẻm",Đã có sổ,,4,15,3,3,2,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,05 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông A,50,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"19,9 tỷ",Tp Hồ Chí Minh,Phường Cát Lái (Quận 2 cũ),159,"Nhà mặt phố, mặt tiền",Đã có sổ,,10,16.5,5,4,5,Nội thất đầy đủ
,,,,,,,,,,,,
32 tỷ,Tp Hồ Chí Minh,Phường Phú Thọ Hòa,144,Nhà biệt thự,Đã có sổ,Nam,16,9,6,4,3,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,9 tỷ",Tp Hồ Chí Minh,Phường 21,60,"Nhà ngõ, hẻm",Đã có sổ,,3.5,17,3,2,2,Hoàn thiện cơ bản
,,,,,,,,,,,,
5 tỷ,Tp Hồ Chí Minh,Phường Bình Hưng Hòa,74,"Nhà ngõ, hẻm",Đã có sổ,,4,19,4,5,4,
,,,,,,,,,,,,
"4,8 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hoà B,60,"Nhà ngõ, hẻm",Đã có sổ,,4,15,4,4,3,Hoàn thiện cơ bản
,,,,,,,,,,,,
"5,1 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,72,"Nhà ngõ, hẻm",Đã có sổ,,4,18,4,4,4,Hoàn thiện cơ bản
,,,,,,,,,,,,
"5,6 tỷ",Bình Dương,Phường Tân Đông Hiệp,64,Nhà phố liền kề,Đã có sổ,,4,16,4,4,3,Nội thất cao cấp
,,,,,,,,,,,,
"5,1 tỷ",Tp Hồ Chí Minh,Phường Tân Hưng,47.2,Nhà phố liền kề,Đã có sổ,,4,13,2,2,2,Nội thất đầy đủ
"3,99 tỷ",Tp Hồ Chí Minh,Phường Tân Tạo,32,"Nhà ngõ, hẻm",Đã có sổ,,4,8,3,3,3,Nội thất đầy đủ
"7,5 tỷ",Hà Nội,Phường Mai Động,40,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,4,,6,
,,,,,,,,,,,,
"7,39 tỷ",Tp Hồ Chí Minh,Phường 11,40,Nhà phố liền kề,Đã có sổ,,4,10,6,4,4,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,68 tỷ",Tp Hồ Chí Minh,Phường Đông Hưng Thuận,72,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,4.2,17,3,,2,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"7,6 tỷ",Tp Hồ Chí Minh,Phường 7,100,"Nhà ngõ, hẻm",Đã có sổ,,5,20,4,,,
,,,,,,,,,,,,
"9,1 tỷ",Hà Nội,Phường Định Công,35,"Nhà mặt phố, mặt tiền",Đã có sổ,,3.52,9.91,6,3,5,Hoàn thiện cơ bản
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,5 tỷ",Bình Dương,Phường Tân Đông Hiệp,60,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,4,3,2,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"3,95 tỷ",Đà Nẵng,Phường Hòa Khánh Nam,70,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,,
,,,,,,,,,,,,
"6,79 tỷ",Hà Nội,Phường Trần Phú,30,"Nhà ngõ, hẻm",Đã có sổ,,3.3,9.3,3,4,5,Nội thất đầy đủ
10 tỷ,Tp Hồ Chí Minh,Phường 1,50,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,4,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
